,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6351438045501709,0.22853969490740927,0.001800394058227539,0.00040023336460514366,10,0,"{'n_estimators': 10, 'random_state': 0}",-0.6205469084615395,-0.36800332409438724,-0.404029664712813,-0.3749076912172324,-0.3274996900136605,-0.4189974556999266,0.10369413348059851,10
1,0.710160493850708,0.25724058137656997,0.0016002178192138672,0.0004899403856509721,10,1,"{'n_estimators': 10, 'random_state': 1}",-0.6030040854633331,-0.4834238402796874,-0.4777749776560666,-0.3504800257069046,-0.3469116648567371,-0.45231891879254577,0.09571143699201672,25
2,0.61673903465271,0.21189206997463292,0.0012002944946289062,0.00040001876306754863,10,2,"{'n_estimators': 10, 'random_state': 2}",-0.5945997389910959,-0.44416015046394564,-0.3525953121125036,-0.3719700460057795,-0.30641353115399533,-0.413947755745464,0.10063576676154319,4
3,0.9990252494812012,0.28774460573112415,0.0014005661010742187,0.0004899987222241536,10,5,"{'n_estimators': 10, 'random_state': 5}",-0.5767970498265379,-0.4478508502155881,-0.48329226692069915,-0.38566823229352304,-0.33033685180681555,-0.4447890502126327,0.08427640370772863,24
4,0.5143163681030274,0.033290279190390355,0.001600170135498047,0.00049009613545469,10,10,"{'n_estimators': 10, 'random_state': 10}",-0.5654021323223573,-0.4566468525313155,-0.44077081576218746,-0.36522890749499576,-0.35853567192407226,-0.43731687600698566,0.0750926945828653,23
5,1.001025390625,0.046315433265193745,0.002400636672973633,0.0004900766357994065,20,0,"{'n_estimators': 20, 'random_state': 0}",-0.6107979506890647,-0.42356674471790096,-0.3911481475109998,-0.365867828078189,-0.3233380760552232,-0.42294374941027557,0.09947813862533045,19
6,0.983222246170044,0.05407511854337831,0.0020003318786621094,1.5078914929239175e-07,20,1,"{'n_estimators': 20, 'random_state': 1}",-0.604378564209278,-0.4695922620812257,-0.438035510139637,-0.34032576340814424,-0.32184908038919785,-0.43483623604549654,0.10164757205281146,22
7,1.0356342792510986,0.0754136101352083,0.00200037956237793,1.784161275279017e-07,20,2,"{'n_estimators': 20, 'random_state': 2}",-0.6025595758723706,-0.4476283652620662,-0.3893800506392017,-0.3519205235261829,-0.3191900062622736,-0.422135704312419,0.09980337709557816,17
8,1.2220766067504882,0.47886442413152863,0.0022003650665283203,0.0004000664325664057,20,5,"{'n_estimators': 20, 'random_state': 5}",-0.6050447531113146,-0.43210791470873267,-0.4232379795454717,-0.37902709778063814,-0.3116244804508218,-0.43020844511939577,0.09726419378086812,21
9,1.0250319004058839,0.04174398626375826,0.0026007175445556642,0.0004901155693855792,20,10,"{'n_estimators': 20, 'random_state': 10}",-0.5625560480028191,-0.47489724079614254,-0.38711925544467257,-0.3425879009395972,-0.30454793787291656,-0.41434167661122956,0.09335824103334256,5
10,7.112210845947265,3.773808528655682,0.007601594924926758,0.0004900571168092678,100,0,"{'n_estimators': 100, 'random_state': 0}",-0.6037328257604585,-0.4085810741344644,-0.3800945387278527,-0.3415834104439388,-0.31361738433662095,-0.40952184668066705,0.10236996914843453,1
11,8.651961040496825,4.600095602968587,0.012602949142456054,0.010709189925123373,100,1,"{'n_estimators': 100, 'random_state': 1}",-0.5925651587715158,-0.4632885605541306,-0.3876609614176795,-0.35092170983761733,-0.33194889433485436,-0.4252770569831596,0.09495685087629152,20
12,7.229440832138062,2.045265323849273,0.007601642608642578,0.0004899988150299686,100,2,"{'n_estimators': 100, 'random_state': 2}",-0.6054371177440182,-0.44360451248459476,-0.37849607354513937,-0.3505015820910037,-0.3310807259777106,-0.42182400236849327,0.09938481374869894,16
13,6.991183471679688,4.144302872602149,0.007801866531372071,0.0007485448972156628,100,5,"{'n_estimators': 100, 'random_state': 5}",-0.5959482891342494,-0.4342702498648618,-0.38885811996183123,-0.3533585318571272,-0.3231265548453865,-0.4191123491326912,0.09586747853661007,11
14,4.885105180740356,0.17688001530747746,0.008401918411254882,0.0008002281188964843,100,10,"{'n_estimators': 100, 'random_state': 10}",-0.5952766737285852,-0.4464434813069899,-0.3772077531666371,-0.34536028959117465,-0.32155583803586824,-0.417168807165851,0.09846279254261511,8
15,11.36448245048523,2.9927087445718046,0.01380295753479004,0.00040016177157428304,200,0,"{'n_estimators': 200, 'random_state': 0}",-0.6005522271286949,-0.41448826012992124,-0.3680199149868966,-0.34977592590148604,-0.3166223233319482,-0.40989173029578935,0.1004379353329301,2
16,12.18957052230835,4.343165054285566,0.014203119277954101,0.000400161828394718,200,1,"{'n_estimators': 200, 'random_state': 1}",-0.5934795269586471,-0.43857115361168497,-0.389689038372949,-0.34924957412576996,-0.33486273838525354,-0.4211704062908609,0.09338727454769799,15
17,11.848093414306641,2.918680710903646,0.014403533935546876,0.0013564240200137682,200,2,"{'n_estimators': 200, 'random_state': 2}",-0.60682729355978,-0.44487119929862773,-0.38582370081355744,-0.3472814230675808,-0.3270103300430521,-0.42236278935651966,0.10059641134908083,18
18,10.106095266342162,0.4809651559665092,0.013802814483642577,0.0007485321515798529,200,5,"{'n_estimators': 200, 'random_state': 5}",-0.6018488648720064,-0.43913695810093045,-0.3983197749162608,-0.343005895838646,-0.3116523284452854,-0.4187927644346258,0.10155322535366547,9
19,11.897207021713257,2.992391399344016,0.01360306739807129,0.0008001804564921392,200,10,"{'n_estimators': 200, 'random_state': 10}",-0.5948422338488495,-0.43966226650366325,-0.36023742981610996,-0.35819578392855345,-0.32483464232565207,-0.4155544712845657,0.09726805133649497,7
20,24.8336398601532,0.9523274199601199,0.030207157135009766,0.002713540375575453,500,0,"{'n_estimators': 500, 'random_state': 0}",-0.6022933295641136,-0.4116769030065842,-0.38328629404294406,-0.3522058651750649,-0.3188700869013742,-0.41366649573801617,0.09926808733026718,3
21,24.13568458557129,1.2037413247801696,0.030006980895996092,0.004148332901673726,500,1,"{'n_estimators': 500, 'random_state': 1}",-0.5958881724049407,-0.434165072575793,-0.388592398584063,-0.3503741805505136,-0.32682159857032056,-0.4191682845371262,0.09555129132950224,12
22,23.824414205551147,0.44799041445032994,0.02600569725036621,0.000632711816663974,500,2,"{'n_estimators': 500, 'random_state': 2}",-0.605459429798244,-0.4493257470324817,-0.37693105847783054,-0.3495214203544634,-0.3218046642528326,-0.4206084639831705,0.10170332961432486,14
23,23.314304637908936,0.9680312247115475,0.025605201721191406,0.002577395419911929,500,5,"{'n_estimators': 500, 'random_state': 5}",-0.5999877859677353,-0.42918353098313833,-0.386236515937174,-0.3410734471879438,-0.3212759454121001,-0.41555144509761827,0.09949553224584275,6
24,23.04864411354065,0.7374600980136394,0.025005626678466796,0.001095670455931647,500,10,"{'n_estimators': 500, 'random_state': 10}",-0.6019430102193061,-0.43704479842222094,-0.37298870105005355,-0.3565489329600592,-0.32853449625004755,-0.41941198778033745,0.0979735615794028,13
